X,Y,Index_,event_unique_id,Division,occurrencedate,reporteddate,location_type,premises_type,ucr_code,ucr_ext,offence,reportedyear,reportedmonth,reportedday,reporteddayofyear,reporteddayofweek,reportedhour,occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofyear,occurrencedayofweek,occurrencehour,cleared,mci_category,Hood_ID,Neighbourhood,Longitude,Latitude,ObjectId
-8857248.742,5433680.914,102676,GO-2017267966,NSA,2017/02/13 05:00:00+00,2017/02/13 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,2017,February,13,44,Monday    ,7,2017,February,13,44,Monday    ,7,YES,Theft Over,NSA,NSA,-79.5660192,43.79440565,102976
-8880731.733,5426606.671,103488,GO-2017330221,NSA,2017/02/18 05:00:00+00,2017/02/22 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,2017,February,22,53,Wednesday ,9,2017,February,18,49,Saturday  ,19,YES,Assault,NSA,NSA,-79.7769705,43.74851661,103096
0,0,103721,GO-2017341865,NSA,2017/02/24 05:00:00+00,2017/02/24 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,1420,100,Assault With Weapon,2017,February,24,55,Friday    ,1,2017,February,24,55,Friday    ,1,NO,Assault,NSA,NSA,0,0,103136
0,0,103722,GO-2017341865,NSA,2017/02/24 05:00:00+00,2017/02/24 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,2017,February,24,55,Friday    ,1,2017,February,24,55,Friday    ,1,NO,Assault,NSA,NSA,0,0,103137
0,0,103723,GO-2017342592,NSA,2017/02/24 05:00:00+00,2017/02/24 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,2017,February,24,55,Friday    ,4,2017,February,24,55,Friday    ,4,NO,Assault,NSA,NSA,0,0,103138
0,0,103725,GO-2017348597,NSA,2017/02/24 05:00:00+00,2017/02/24 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1610,140,Robbery - Vehicle Jacking,2017,February,24,55,Friday    ,23,2017,February,24,55,Friday    ,23,NO,Robbery,NSA,NSA,0,0,103140
-8876936.824,5402317.346,103016,GO-2017290781,NSA,2017/01/06 05:00:00+00,2017/02/16 05:00:00+00,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2135,210,Theft Of Motor Vehicle,2017,February,16,47,Thursday  ,1,2017,January,6,6,Friday    ,13,NO,Auto Theft,NSA,NSA,-79.74288025,43.59068918,103267
0,0,103100,GO-2017301723,NSA,2017/02/17 05:00:00+00,2017/02/17 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,2120,210,Unlawfully In Dwelling-House,2017,February,17,48,Friday    ,17,2017,February,17,48,Friday    ,17,YES,Break and Enter,NSA,NSA,0,0,103351
-8837412.401,5414957.424,103983,GO-2017364677,NSA,2013/01/01 05:00:00+00,2017/02/27 05:00:00+00,Unknown,Other,1430,100,Assault,2017,February,27,58,Monday    ,16,2013,January,1,1,Tuesday   ,16,YES,Assault,95,Annex,-79.38782632,43.6728738,103629
0,0,103984,GO-2017361963,NSA,2017/02/25 05:00:00+00,2017/02/27 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,2017,February,27,58,Monday    ,9,2017,February,25,56,Saturday  ,2,YES,Assault,NSA,NSA,0,0,103630
0,0,103285,GO-2017310803,NSA,2017/02/18 05:00:00+00,2017/02/19 05:00:00+00,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,1430,100,Assault,2017,February,19,50,Sunday    ,4,2017,February,18,49,Saturday  ,0,YES,Assault,NSA,NSA,0,0,103724
0,0,103628,GO-2017339127,NSA,2017/02/12 05:00:00+00,2017/02/23 05:00:00+00,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,1430,100,Assault,2017,February,23,54,Thursday  ,14,2017,February,12,43,Sunday    ,18,YES,Assault,NSA,NSA,0,0,103769
-8796248.794,5440733.563,103665,GO-2017344993,NSA,2017/02/23 05:00:00+00,2017/02/24 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,2017,February,24,55,Friday    ,12,2017,February,23,54,Thursday  ,0,YES,Assault,NSA,NSA,-79.01804735,43.84011957,103806
-8841655.877,5438062.052,103359,GO-2017320752,NSA,2017/02/20 05:00:00+00,2017/02/20 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1610,200,Robbery - Mugging,2017,February,20,51,Monday    ,20,2017,February,20,51,Monday    ,20,YES,Robbery,NSA,NSA,-79.42594611,43.82280747,103880
-8838794.489,5420111.411,104901,GO-2017434259,NSA,2017/03/07 05:00:00+00,2017/03/10 05:00:00+00,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,1430,100,Assault,2017,March,10,69,Friday    ,10,2017,March,7,66,Tuesday   ,13,NO,Assault,NSA,NSA,-79.40024183,43.70635229,104032
0,0,104178,GO-2017376188,NSA,2017/03/01 05:00:00+00,2017/03/01 05:00:00+00,"Group Homes (Non-Profit, Halfway House, Social Agency)",Other,1430,100,Assault,2017,March,1,60,Wednesday ,11,2017,March,1,60,Wednesday ,11,NO,Assault,NSA,NSA,0,0,104089
0,0,104179,GO-2017380122,NSA,2017/03/01 05:00:00+00,2017/03/01 05:00:00+00,Ttc Bus,Transit,1430,100,Assault,2017,March,1,60,Wednesday ,22,2017,March,1,60,Wednesday ,15,NO,Assault,NSA,NSA,0,0,104090
0,0,104357,GO-2017391491,NSA,2017/02/25 05:00:00+00,2017/03/03 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,2017,March,3,62,Friday    ,15,2017,February,25,56,Saturday  ,16,YES,Assault,NSA,NSA,0,0,104471
-8796805.363,5449738.726,104373,GO-2017390226,NSA,2017/03/03 05:00:00+00,2017/03/03 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,2017,March,3,62,Friday    ,15,2017,March,3,62,Friday    ,12,NO,Auto Theft,NSA,NSA,-79.02304709,43.89843844,104487
0,0,104080,GO-2017369830,NSA,2017/01/30 05:00:00+00,2017/02/28 05:00:00+00,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,1610,110,Robbery - Financial Institute,2017,February,28,59,Tuesday   ,12,2017,January,30,30,Monday    ,9,NO,Robbery,NSA,NSA,0,0,104606
0,0,104084,GO-2017372618,NSA,2017/02/24 05:00:00+00,2017/02/28 05:00:00+00,Schools During Supervised Activity,Educational,1430,100,Assault,2017,February,28,59,Tuesday   ,20,2017,February,24,55,Friday    ,15,NO,Assault,NSA,NSA,0,0,104610
0,0,104757,GO-2017421656,NSA,2017/03/07 05:00:00+00,2017/03/08 05:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1610,220,Robbery - Other,2017,March,8,67,Wednesday ,13,2017,March,7,66,Tuesday   ,1,NO,Robbery,NSA,NSA,0,0,104674
-8798788.171,5444656.503,104761,GO-2017423453,NSA,2015/12/26 05:00:00+00,2017/03/08 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,2017,March,8,67,Wednesday ,14,2015,December,26,360,Saturday  ,0,NO,Assault,NSA,NSA,-79.04085896,43.86553217,104678
0,0,104956,GO-2017438458,NSA,2017/03/10 05:00:00+00,2017/03/10 05:00:00+00,"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",Other,2120,200,B&E,2017,March,10,69,Friday    ,23,2017,March,10,69,Friday    ,23,YES,Break and Enter,NSA,NSA,0,0,104817
0,0,104548,GO-2017403500,NSA,2017/03/03 05:00:00+00,2017/03/05 05:00:00+00,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,2017,March,5,64,Sunday    ,16,2017,March,3,62,Friday    ,14,YES,Assault,NSA,NSA,0,0,104948
0,0,104549,GO-2017403122,NSA,2017/02/24 05:00:00+00,2017/03/05 05:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,2017,March,5,64,Sunday    ,14,2017,February,24,55,Friday    ,18,NO,Assault,NSA,NSA,0,0,104949
-8841672.665,5443193.378,105908,GO-2017505187,NSA,2017/03/21 04:00:00+00,2017/03/21 04:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,2017,March,21,80,Tuesday   ,19,2017,March,21,80,Tuesday   ,14,NO,Auto Theft,NSA,NSA,-79.42609692,43.85605539,105008
0,0,105937,GO-2017508593,NSA,2017/03/20 04:00:00+00,2017/03/22 04:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1420,100,Assault With Weapon,2017,March,22,81,Wednesday ,11,2017,March,20,79,Monday    ,12,YES,Assault,NSA,NSA,0,0,105039
0,0,105959,GO-2017512080,NSA,2017/03/22 04:00:00+00,2017/03/22 04:00:00+00,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1610,200,Robbery - Mugging,2017,March,22,81,Wednesday ,21,2017,March,22,81,Wednesday ,16,YES,Robbery,NSA,NSA,0,0,105063
0,0,105991,GO-2017510899,NSA,2016/12/16 05:00:00+00,2017/03/22 04:00:00+00,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,2017,March,22,81,Wednesday ,17,2016,December,16,351,Friday    ,7,NO,Assault,NSA,NSA,0,0,105095
0,0,105679,GO-2017490956,NSA,2017/03/18 04:00:00+00,2017/03/19 04:00:00+00,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,2017,March,19,78,Sunday    ,18,2017,March,18,77,Saturday  ,12,YES,Assault,NSA,NSA,0,0,105257
